id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,calculated_host_listings_count,host_identity_verified,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,has_availability,availability_30,number_of_reviews,first_review,instant_bookable,reviews_per_month,review_scores_rating,review_scores_value,review_scores_checkin,review_scores_accuracy,review_scores_location,review_scores_cleanliness,review_scores_communication
10961041,unknown,unknown,unknown,f,1,t,Dublin City,Entire home,Entire home/apt,5,1 bath,2,2,"[""Essentials"", ""Hangers"", ""Indoor fireplace"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Free parking on premises""]",120.0,2,t,0,10,2301,t,0.13,4.6,4.5,4.9,4.8,4.6,4.3,4.9
10963898,unknown,unknown,unknown,f,1,t,Fingal,Entire home,Entire home/apt,>5,2.5 baths,3,6,"[""TV with standard cable"", ""Essentials"", ""Dryer"", ""Cable TV"", ""Wifi"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Dishes and silverware"", ""Cooking basics"", ""Shampoo"", ""Hot water"", ""Free parking on premises""]",150.0,5,t,0,7,2413,f,0.09,5.0,4.86,5.0,5.0,5.0,4.71,5.0
10964495,unknown,unknown,unknown,f,1,t,Dublin City,Entire rental unit,Entire home/apt,4,1 bath,2,2,"[""Essentials"", ""TV"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Elevator"", ""Bathtub"", ""Free parking on premises""]",171.0,2,t,0,7,1980,f,0.11,4.71,4.14,5.0,4.86,4.29,4.86,5.0
10976284,unknown,unknown,unknown,f,1,t,Dublin City,Entire home,Entire home/apt,>5,2 baths,3,4,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""TV with standard cable"", ""Heating"", ""Dishes and silverware"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",277.0,7-33,t,0,8,2343,f,0.11,4.38,4.5,4.25,4.5,4.63,4.38,4.63
10978447,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 private bath,1,1,"[""Essentials"", ""Dryer"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Shampoo""]",61.0,1,t,0,113,2463,f,1.41,4.3,4.39,4.75,4.57,4.78,4.16,4.75
10983874,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""Essentials"", ""TV"", ""Hangers"", ""Lock on bedroom door"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Elevator"", ""Shampoo"", ""Free parking on premises""]",53.0,3,t,0,5,2430,f,0.06,4.4,4.2,3.8,4.8,4.6,5.0,4.0
10987796,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,1,1 private bath,1,1,"[""Essentials"", ""Fire extinguisher"", ""Hangers"", ""Lock on bedroom door"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Host greets you"", ""Shampoo"", ""Hot water"", ""Free parking on premises""]",65.0,2,t,0,109,2469,f,1.36,4.88,4.8,4.95,4.94,4.96,4.93,4.97
11008133,within a few hours,98%-100%,0%-69%,f,1,t,Dublin City,Entire condo,Entire home/apt,5,2 baths,2,2,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Elevator"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""EV charger"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Room-darkening shades"", ""Extra pillows and blankets""]",158.0,>33,t,0,151,2435,t,1.91,4.81,4.72,4.86,4.83,4.93,4.89,4.91
11013301,unknown,unknown,unknown,f,1,t,Dublin City,Entire townhouse,Entire home/apt,>5,2.5 baths,4,5,"[""Oven"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Baking sheet"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Piano"", ""Extra pillows and blankets""]",300.0,7-33,t,0,1,1043,f,0.03,5.0,5.0,5.0,5.0,5.0,5.0,5.0
11041254,unknown,unknown,unknown,f,1,t,Dublin City,Entire home,Entire home/apt,2,1 bath,1,1,"[""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""Shampoo""]",100.0,3,t,0,7,2429,f,0.09,4.71,4.71,5.0,4.86,5.0,4.86,5.0
11056503,within a few hours,98%-100%,90%-96%,t,1,t,Dublin City,Private room in townhouse,Private room,2,1 private bath,1,1,"[""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Host greets you"", ""Breakfast"", ""Private fenced garden or backyard"", ""TV with standard cable"", ""Ethernet connection"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Pocket wifi"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Extra pillows and blankets""]",150.0,2,t,2,105,2432,f,1.33,4.97,4.89,5.0,4.91,4.89,4.96,5.0
11056980,unknown,unknown,unknown,f,1,t,Dublin City,Entire rental unit,Entire home/apt,4,2 baths,2,3,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""TV with standard cable"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Elevator"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""BBQ grill"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Paid parking off premises"", ""Extra pillows and blankets""]",200.0,2,t,0,47,2272,f,0.64,4.72,4.77,4.87,4.74,4.85,4.72,4.87
11064371,unknown,unknown,unknown,f,1,t,Dn Laoghaire-Rathdown,others,Entire home/apt,4,2 baths,2,2,"[""TV with standard cable"", ""Essentials"", ""Cable TV"", ""Hangers"", ""Indoor fireplace"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Shampoo"", ""Free parking on premises""]",180.0,3,t,0,37,2379,f,0.48,4.77,4.68,4.79,4.94,4.76,4.56,5.0
11066052,unknown,unknown,unknown,f,1,f,Fingal,Entire home,Entire home/apt,3,1 bath,2,2,"[""TV with standard cable"", ""Essentials"", ""Dryer"", ""Cable TV"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Breakfast"", ""Shampoo"", ""Free parking on premises""]",30.0,1,t,0,1,2381,f,0.01,0.0,,,,,,
11080303,within an hour,98%-100%,97%-100%,f,5-9,t,Dublin City,Entire rental unit,Entire home/apt,2,1.5 baths,1,2,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Lockbox"", ""Wifi"", ""Smoke alarm"", ""Stove""]",101.0,2,t,0,69,2415,t,0.88,4.59,4.62,4.81,4.81,4.65,4.93,4.9
11117015,unknown,unknown,unknown,f,1,f,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""Elevator""]",25.0,1,t,0,1,2440,f,0.01,3.0,3.0,4.0,4.0,4.0,3.0,3.0
11119407,unknown,unknown,unknown,f,1,f,Dublin City,Entire rental unit,Entire home/apt,2,1 bath,1,1,"[""TV with standard cable"", ""Essentials"", ""Fire extinguisher"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Elevator"", ""Cable TV""]",89.0,2,t,0,4,2197,f,0.06,5.0,4.67,5.0,5.0,5.0,4.75,5.0
11122611,unknown,unknown,unknown,f,1,t,Dublin City,Entire home,Entire home/apt,4,1 bath,2,3,"[""Oven"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""High chair"", ""TV with standard cable"", ""Pack \u2019n play/Travel crib"", ""Fireplace guards"", ""Washer"", ""Heating"", ""Dishes and silverware"", ""Hot water"", ""Free parking on premises"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Bed linens"", ""Children\u2019s dinnerware"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",149.0,4,t,0,56,2406,f,0.72,4.67,4.69,5.0,4.8,4.85,4.48,4.93
11131579,within a few hours,98%-100%,90%-96%,t,1,t,Dublin City,Private room in home,Private room,1,1 private bath,1,1,"[""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Laundromat nearby"", ""Host greets you"", ""Breakfast"", ""TV with standard cable"", ""Mini fridge"", ""Ethernet connection"", ""Heating"", ""Dedicated workspace"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""Refrigerator"", ""Body soap"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Waterfront"", ""Piano"", ""Wine glasses"", ""Extra pillows and blankets""]",85.0,2,t,0,158,2456,f,1.98,4.97,4.93,4.99,4.99,4.9,4.97,4.98
11131679,unknown,unknown,unknown,f,1,f,Dn Laoghaire-Rathdown,Entire rental unit,Entire home/apt,2,1 bath,1,1,"[""TV with standard cable"", ""Fire extinguisher"", ""Dryer"", ""Cable TV"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Elevator"", ""Air conditioning"", ""Shampoo"", ""Free parking on premises""]",77.0,5,t,0,2,2273,f,0.03,5.0,5.0,5.0,5.0,5.0,5.0,4.0
11134872,unknown,unknown,unknown,f,1,f,Dn Laoghaire-Rathdown,Entire home,Entire home/apt,>5,2.5 baths,4,5,"[""Fire extinguisher"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Host greets you"", ""Breakfast"", ""TV with standard cable"", ""Heating"", ""Washer"", ""First aid kit"", ""Hot water"", ""Free parking on premises"", ""Children\u2019s books and toys"", ""Hair dryer"", ""Iron"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Essentials"", ""Wifi"", ""Smoke alarm""]",150.0,5,t,0,1,2305,f,0.01,4.0,4.0,5.0,5.0,5.0,5.0,5.0
11137294,within an hour,98%-100%,90%-96%,f,2-4,f,Dublin City,Private room in bed and breakfast,Private room,2,1 private bath,1,4,"[""TV with standard cable"", ""Essentials"", ""Fire extinguisher"", ""Lock on bedroom door"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Keypad"", ""Dedicated workspace"", ""Cable TV"", ""Crib"", ""Hot water""]",173.0,1,t,0,25,2397,t,0.32,4.32,4.56,4.88,4.64,4.56,4.44,4.72
11138404,unknown,unknown,unknown,f,1,f,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""Essentials"", ""Fire extinguisher"", ""Dryer"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Shampoo"", ""Free parking on premises""]",60.0,1,t,0,2,2408,f,0.03,4.0,5.0,5.0,5.0,5.0,4.0,5.0
11160926,unknown,unknown,unknown,f,1,f,Dublin City,Entire rental unit,Entire home/apt,2,1 bath,1,1,"[""Essentials"", ""Wifi"", ""Long term stays allowed"", ""Smoke alarm"", ""Heating"", ""Washer"", ""Kitchen""]",150.0,1,t,0,2,2428,f,0.03,4.5,4.5,5.0,4.5,5.0,4.5,5.0
11201562,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 private bath,1,1,"[""TV with standard cable"", ""Essentials"", ""Fire extinguisher"", ""Dryer"", ""Cable TV"", ""Hangers"", ""Lock on bedroom door"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Breakfast"", ""Shampoo""]",64.0,3,t,0,52,2301,f,0.7,4.92,4.8,4.96,4.98,4.84,4.98,4.98
11211533,within a few hours,98%-100%,70%-79%,t,5-9,t,Dublin City,Entire rental unit,Entire home/apt,4,1 bath,1,3,"[""Oven"", ""Hot water kettle"", ""Dryer"", ""Dining table"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""Patio or balcony"", ""Pack \u2019n play/Travel crib"", ""Building staff"", ""Ethernet connection"", ""Fireplace guards"", ""Washer"", ""Heating"", ""First aid kit"", ""Dishes and silverware"", ""Drying rack for clothing"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Backyard"", ""Shower gel"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Freezer"", ""Free street parking"", ""Shampoo"", ""Luggage dropoff allowed"", ""Record player"", ""Essentials"", ""Coffee maker"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Wifi"", ""Clothing storage: wardrobe and closet"", ""Smoke alarm"", ""Room-darkening shades"", ""Stove"", ""Wine glasses"", ""Paid parking off premises"", ""Extra pillows and blankets""]",180.0,7-33,t,0,82,2381,f,1.06,4.89,4.89,4.94,4.91,4.94,4.84,5.0
11216939,unknown,unknown,unknown,f,1,t,South Dublin,Private room in home,Private room,2,1 bath,1,1,"[""Essentials"", ""Fire extinguisher"", ""Dryer"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""First aid kit"", ""Breakfast"", ""Shampoo"", ""Free parking on premises""]",55.0,2,t,0,5,2288,t,0.07,4.4,4.6,4.6,4.6,4.6,4.0,4.2
11217756,within an hour,98%-100%,90%-96%,f,2-4,t,Dublin City,Entire rental unit,Entire home/apt,4,1 bath,1,2,"[""Essentials"", ""Refrigerator"", ""Dryer"", ""Lockbox"", ""Wifi"", ""Indoor fireplace"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Kitchen"", ""Dedicated workspace"", ""Keypad"", ""Shampoo""]",150.0,7-33,t,0,103,2455,t,1.29,4.13,4.22,4.79,4.52,4.65,4.18,4.64
11233281,unknown,unknown,unknown,f,1,t,Fingal,Private room in home,Private room,2,1 bath,1,1,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""First aid kit"", ""Kitchen"", ""Breakfast"", ""Shampoo"", ""Free parking on premises""]",35.0,2,f,0,36,2432,f,0.46,4.77,4.71,4.91,4.82,4.56,4.8,4.94
11238793,unknown,unknown,unknown,f,1,t,Dublin City,Entire rental unit,Entire home/apt,2,1 bath,1,1,"[""Essentials"", ""TV"", ""Fire extinguisher"", ""Wifi"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Elevator"", ""Shampoo""]",100.0,3,t,0,1,2448,f,0.01,4.0,5.0,5.0,5.0,5.0,5.0,5.0
11248447,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""Essentials"", ""TV"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""First aid kit"", ""Elevator"", ""Breakfast"", ""Shampoo""]",84.0,1,t,0,8,2440,f,0.1,4.63,4.5,4.75,4.75,4.63,4.63,4.75
11249898,unknown,unknown,unknown,f,1,f,Dublin City,Entire rental unit,Entire home/apt,4,1 bath,1,1,"[""Essentials"", ""Fire extinguisher"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""First aid kit"", ""Kitchen"", ""Elevator"", ""Shampoo""]",90.0,3,t,0,13,2429,f,0.16,4.54,4.77,4.85,4.85,4.85,4.62,4.92
11250886,within a day,80%-89%,97%-100%,f,1,f,Dn Laoghaire-Rathdown,Private room in townhouse,Private room,2,2 baths,4,5,"[""Essentials"", ""Fire extinguisher"", ""Bed linens"", ""Heating"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""First aid kit"", ""Kitchen"", ""Breakfast"", ""Free driveway parking on premises"", ""Hot water"", ""Free washer \u2013 In building""]",180.0,5,t,11,3,1646,f,0.06,5.0,5.0,5.0,5.0,5.0,4.0,5.0
11255072,unknown,unknown,97%-100%,f,1,t,Dublin City,others,Private room,3,1 shared bath,1,1,"[""Oven"", ""Hangers"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Microwave"", ""TV with standard cable"", ""Building staff"", ""Heating"", ""Washer"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Lock on bedroom door"", ""Hair dryer"", ""Single level home"", ""Iron"", ""Dishwasher"", ""Free street parking"", ""Cable TV"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",53.0,7-33,t,25,62,2211,t,0.86,4.62,4.52,4.87,4.74,4.38,4.57,4.89
11269403,unknown,unknown,unknown,f,1,t,Dublin City,Entire rental unit,Entire home/apt,>5,2 baths,2,3,"[""Oven"", ""Dryer"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""Crib"", ""Patio or balcony"", ""Ethernet connection"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Elevator"", ""Pocket wifi"", ""Hot water"", ""TV"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Bathtub"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm""]",110.0,6,t,0,202,2449,t,2.54,4.74,4.63,4.86,4.85,4.8,4.83,4.94
11275684,within a day,98%-100%,0%-69%,t,2-4,f,South Dublin,Private room in home,Private room,2,1 shared bath,1,1,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Indoor fireplace"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Breakfast"", ""Microwave"", ""Patio or balcony"", ""TV with standard cable"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Dedicated workspace"", ""Backyard"", ""Hot water"", ""Free parking on premises"", ""Lock on bedroom door"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""Cable TV"", ""Shampoo"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Smoke alarm"", ""Stove"", ""Extra pillows and blankets""]",55.0,1,t,0,22,2406,f,0.28,4.91,4.82,4.95,4.91,4.77,4.86,4.82
11276216,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""Wifi"", ""Essentials"", ""Long term stays allowed"", ""Smoke alarm""]",300.0,1,t,0,1,2358,f,0.01,4.0,3.0,4.0,4.0,5.0,4.0,4.0
11278756,within a few hours,98%-100%,90%-96%,t,1,t,Dublin City,Private room in home,Private room,2,1 private bath,1,1,"[""Essentials"", ""Bed linens"", ""Hangers"", ""Wifi"", ""Hair dryer"", ""Long term stays allowed"", ""Heating"", ""Room-darkening shades"", ""Smoke alarm"", ""Carbon monoxide alarm"", ""Host greets you"", ""Breakfast"", ""Paid parking off premises"", ""Extra pillows and blankets"", ""Hot water"", ""Shower gel""]",130.0,2,t,2,350,2435,f,4.42,4.98,4.94,4.99,4.97,4.98,4.99,5.0
11299001,unknown,unknown,97%-100%,f,1,t,Dn Laoghaire-Rathdown,Entire home,Entire home/apt,5,2 baths,3,3,"[""Oven"", ""Hot water kettle"", ""Fire extinguisher"", ""Dryer"", ""Outdoor furniture"", ""Dining table"", ""Hangers"", ""Board games"", ""Indoor fireplace"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Laundromat nearby"", ""Cooking basics"", ""Beach essentials"", ""Crib"", ""Pour-over coffee"", ""Private fenced garden or backyard"", ""Nespresso machine"", ""Cleaning before checkout"", ""TV with standard cable"", ""Mini fridge"", ""Private hot tub"", ""Pack \u2019n play/Travel crib"", ""Window guards"", ""Ethernet connection"", ""Heating"", ""Washer"", ""Dishes and silverware"", ""First aid kit"", ""Barbecue utensils"", ""Drying rack for clothing"", ""Cleaning products"", ""Baking sheet"", ""Hot water"", ""Free parking on premises"", ""Shower gel"", ""Children\u2019s books and toys"", ""Changing table"", ""Hair dryer"", ""Babysitter recommendations"", ""Iron"", ""Dishwasher"", ""Freezer"", ""Free street parking"", ""Bathtub"", ""Cable TV"", ""Shampoo"", ""Luggage dropoff allowed"", ""Coffee maker"", ""Essentials"", ""Private entrance"", ""Refrigerator"", ""Conditioner"", ""Body soap"", ""Bed linens"", ""Toaster"", ""Wifi"", ""Sonos Bluetooth sound system"", ""BBQ grill"", ""Private patio or balcony"", ""Smoke alarm"", ""Room-darkening shades"", ""Outdoor dining area"", ""Waterfront"", ""Stove"", ""Clothing storage: wardrobe, dresser, and closet"", ""Wine glasses"", ""Extra pillows and blankets""]",250.0,6,t,5,17,2333,t,0.22,4.93,4.8,5.0,5.0,4.93,5.0,5.0
11299538,unknown,unknown,unknown,f,1,t,Dn Laoghaire-Rathdown,Entire home,Entire home/apt,>5,2.5 baths,4,>6,"[""TV with standard cable"", ""Essentials"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Wifi"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""Dedicated workspace"", ""Cable TV""]",300.0,5,t,0,2,2296,t,0.03,5.0,4.0,5.0,5.0,5.0,4.5,5.0
11300853,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""Essentials"", ""Fire extinguisher"", ""Dryer"", ""Bed linens"", ""Hangers"", ""Indoor fireplace"", ""Hair dryer"", ""Lock on bedroom door"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Smoke alarm"", ""Kitchen"", ""Elevator"", ""Host greets you"", ""Shampoo"", ""Extra pillows and blankets"", ""Free parking on premises""]",75.0,2,t,0,22,2426,f,0.28,4.95,4.81,4.9,4.9,4.86,4.82,4.95
11310913,within a day,80%-89%,70%-79%,f,10-29,t,Dublin City,Entire rental unit,Entire home/apt,>5,2 baths,2,5,"[""Oven"", ""Fire extinguisher"", ""Hangers"", ""Free dryer \u2013 In unit"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Kitchen"", ""Cooking basics"", ""Host greets you"", ""Microwave"", ""Crib"", ""Pack \u2019n play/Travel crib"", ""Heating"", ""Dishes and silverware"", ""First aid kit"", ""Elevator"", ""Hot water"", ""Hair dryer"", ""Iron"", ""Dishwasher"", ""32\"" HDTV with standard cable"", ""Cable TV"", ""Shampoo"", ""Coffee maker"", ""Essentials"", ""Refrigerator"", ""Bed linens"", ""Wifi"", ""Private patio or balcony"", ""Free washer \u2013 In unit"", ""Smoke alarm"", ""Stove"", ""Paid parking on premises""]",325.0,2,t,3,119,2337,f,1.57,4.71,4.63,4.74,4.82,4.87,4.66,4.75
11348838,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 bath,1,2,"[""Dryer"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Heating"", ""Washer"", ""Kitchen"", ""Elevator"", ""Shampoo""]",175.0,2,t,0,1,2451,f,0.01,0.0,,,,,,
11353114,unknown,unknown,unknown,f,1,t,Dublin City,Private room in rental unit,Private room,2,1 bath,1,1,"[""Essentials"", ""TV"", ""Wifi"", ""Hair dryer"", ""Iron"", ""Long term stays allowed"", ""Washer"", ""Kitchen"", ""Elevator"", ""Shampoo""]",25.0,1,t,0,1,2445,f,0.01,3.0,3.0,2.0,3.0,4.0,1.0,5.0
